ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
-0.152,-0.28,0.921,-3.784,2.014,5.554
-0.153,-0.284,0.92,-3.784,1.953,5.066
-0.156,-0.288,0.924,-3.723,1.648,4.517
-0.159,-0.292,0.932,-3.601,1.038,3.906
-0.162,-0.297,0.943,-3.418,0.122,3.235
-0.164,-0.301,0.953,-3.174,-0.854,2.563
-0.166,-0.304,0.962,-2.686,-1.892,1.77
-0.166,-0.306,0.968,-2.136,-2.747,1.038
-0.166,-0.308,0.97,-1.404,-3.357,0.305
-0.166,-0.31,0.97,-0.61,-3.723,-0.305
-0.167,-0.312,0.969,0.183,-3.906,-0.916
-0.167,-0.313,0.968,0.977,-4.089,-1.526
-0.168,-0.314,0.967,1.831,-4.333,-2.075
-0.168,-0.314,0.967,2.625,-4.639,-2.625
-0.168,-0.313,0.967,3.357,-5.005,-3.113
-0.169,-0.312,0.968,3.967,-5.249,-3.479
-0.17,-0.309,0.971,4.456,-5.249,-3.662
-0.172,-0.307,0.976,4.761,-5.371,-3.723
-0.175,-0.305,0.983,5.005,-5.615,-3.723
-0.18,-0.303,0.991,5.188,-6.165,-3.601
-0.184,-0.301,0.999,5.432,-6.775,-3.418
-0.186,-0.299,1.006,5.615,-7.324,-3.235
-0.186,-0.298,1.013,5.798,-7.813,-2.93
-0.185,-0.296,1.018,5.859,-8.118,-2.502
-0.183,-0.294,1.024,5.92,-8.179,-2.014
-0.18,-0.292,1.032,5.92,-8.057,-1.465
-0.178,-0.291,1.041,5.981,-8.24,-0.793
-0.177,-0.292,1.047,6.165,-8.789,-0.244
-0.177,-0.296,1.049,6.47,-9.766,0.061
-0.174,-0.303,1.045,6.836,-10.864,0.244
-0.17,-0.31,1.033,7.202,-11.963,0.427
-0.165,-0.317,1.014,7.446,-12.634,0.61
-0.156,-0.326,0.995,7.446,-12.085,0.793
-0.144,-0.334,0.987,7.08,-9.644,0.854
-0.129,-0.344,1.005,6.348,-6.104,1.038
-0.122,-0.357,1.05,5.615,-3.052,1.404
-0.123,-0.373,1.113,5.188,-1.404,1.526
-0.132,-0.391,1.178,5.066,-1.953,1.038
-0.146,-0.41,1.229,5.249,-5.31,-0.122
-0.155,-0.425,1.248,5.737,-10.559,-1.77
-0.151,-0.434,1.228,6.409,-15.503,-3.662
-0.131,-0.434,1.175,6.714,-17.639,-5.066
-0.102,-0.426,1.109,6.47,-16.052,-5.554
-0.072,-0.414,1.058,5.737,-10.742,-5.127
-0.056,-0.404,1.04,4.944,-4.15,-4.028
-0.061,-0.403,1.062,4.639,0.366,-3.052
-0.084,-0.416,1.11,5.127,0.977,-2.747
-0.112,-0.437,1.162,6.287,-2.136,-3.723
-0.129,-0.458,1.199,7.874,-7.568,-5.371
-0.126,-0.471,1.207,9.644,-12.817,-6.958
-0.104,-0.47,1.186,11.108,-15.259,-7.874
-0.074,-0.454,1.146,12.085,-14.099,-7.874
-0.046,-0.432,1.105,12.695,-10.193,-7.08
-0.033,-0.411,1.076,13.062,-5.859,-5.92
-0.039,-0.4,1.064,13.489,-3.418,-4.883
-0.054,-0.398,1.063,14.16,-4.028,-4.578
-0.068,-0.403,1.061,15.137,-7.141,-4.944
-0.072,-0.407,1.045,16.174,-11.169,-5.493
-0.066,-0.405,1.01,17.029,-14.526,-5.798
-0.053,-0.396,0.955,17.517,-16.235,-5.676
-0.035,-0.38,0.889,17.639,-15.747,-5.188
-0.016,-0.365,0.826,17.273,-13.306,-4.333
-0.001,-0.351,0.779,16.724,-9.583,-3.174
0.005,-0.341,0.761,16.113,-5.859,-2.014
0.002,-0.336,0.773,15.686,-3.54,-1.16
-0.008,-0.336,0.809,15.381,-3.479,-0.732
-0.019,-0.341,0.86,15.259,-6.042,-0.916
-0.024,-0.344,0.89,15.198,-9.094,-1.404
-0.023,-0.345,0.895,15.015,-11.658,-2.075
-0.014,-0.34,0.876,14.526,-12.512,-2.502
0.001,-0.329,0.845,13.672,-11.108,-2.747
0.017,-0.314,0.817,12.512,-7.996,-2.625
0.025,-0.3,0.802,11.292,-4.639,-2.197
0.025,-0.29,0.808,10.193,-2.014,-1.892
0.021,-0.286,0.83,9.216,-0.977,-2.075
0.014,-0.286,0.862,8.484,-1.648,-2.563
0.011,-0.289,0.893,7.751,-3.357,-3.174
0.012,-0.29,0.914,6.836,-4.944,-3.906
0.019,-0.289,0.921,5.676,-5.676,-4.456
0.027,-0.287,0.917,4.15,-5.371,-4.7
0.031,-0.284,0.906,2.319,-4.456,-4.822
0.031,-0.284,0.894,0.366,-3.418,-5.005
0.027,-0.288,0.883,-1.587,-2.563,-5.31
0.021,-0.295,0.875,-3.54,-1.953,-5.737
0.016,-0.302,0.867,-5.432,-1.526,-6.226
0.013,-0.309,0.858,-7.202,-0.916,-6.775
0.012,-0.313,0.846,-9.094,0.122,-7.141
0.012,-0.316,0.833,-11.108,1.77,-7.507
0.013,-0.317,0.822,-13.123,3.784,-7.69
0.012,-0.317,0.813,-15.137,5.92,-7.751
0.01,-0.318,0.81,-17.029,7.813,-7.813
0.006,-0.32,0.811,-18.738,9.277,-7.874
0.003,-0.322,0.816,-20.203,10.437,-7.935
0.001,-0.322,0.822,-21.362,11.353,-8.057
0.001,-0.321,0.829,-22.095,12.207,-8.057
0.002,-0.319,0.834,-22.4,13.123,-8.118
0.003,-0.316,0.838,-22.4,14.099,-7.996
0.002,-0.314,0.841,-21.973,15.015,-7.813
0.001,-0.312,0.843,-21.24,15.808,-7.751
0.0,-0.311,0.845,-20.081,16.479,-7.69
-0.001,-0.31,0.847,-18.738,16.846,-7.629
-0.003,-0.31,0.849,-17.212,17.151,-7.568
-0.005,-0.31,0.852,-15.686,17.334,-7.568
-0.008,-0.312,0.854,-14.16,17.334,-7.507
-0.01,-0.313,0.858,-12.756,17.212,-7.446
-0.012,-0.313,0.863,-11.414,16.785,-7.385
-0.015,-0.314,0.868,-10.254,16.113,-7.324
-0.017,-0.314,0.872,-9.216,15.259,-7.263
-0.02,-0.314,0.874,-8.362,14.221,-7.202
-0.021,-0.314,0.873,-7.69,13.306,-7.141
-0.022,-0.313,0.87,-7.141,12.573,-7.141
-0.022,-0.311,0.866,-6.714,12.146,-7.019
-0.022,-0.308,0.864,-6.47,11.902,-6.836
-0.022,-0.304,0.866,-6.165,11.597,-6.714
-0.022,-0.301,0.871,-5.859,11.047,-6.592
-0.022,-0.297,0.877,-5.493,10.315,-6.47
-0.021,-0.293,0.884,-5.066,9.399,-6.409
-0.018,-0.29,0.889,-4.578,8.423,-6.409
-0.016,-0.286,0.893,-4.028,7.568,-6.348
-0.014,-0.281,0.895,-3.479,6.897,-6.287
-0.012,-0.277,0.896,-2.808,6.287,-6.287
-0.01,-0.274,0.899,-2.075,5.676,-6.287
-0.009,-0.271,0.902,-1.404,5.127,-6.348
-0.008,-0.268,0.905,-0.793,4.578,-6.348
-0.006,-0.265,0.907,-0.305,4.028,-6.287
-0.005,-0.261,0.907,0.0,3.601,-6.226
-0.003,-0.258,0.906,0.061,3.174,-6.165
-0.001,-0.256,0.904,0.0,2.93,-6.104
0.0,-0.256,0.901,-0.366,2.747,-5.981
0.002,-0.256,0.899,-0.916,2.686,-5.737
0.003,-0.258,0.898,-1.526,2.686,-5.493
0.002,-0.26,0.899,-2.258,2.502,-5.249
0.0,-0.264,0.9,-2.869,2.136,-5.066
-0.002,-0.269,0.9,-3.418,1.77,-4.883
-0.003,-0.274,0.898,-4.028,1.526,-4.822
-0.004,-0.28,0.895,-4.517,1.526,-4.7
-0.003,-0.285,0.891,-5.005,1.77,-4.578
-0.002,-0.291,0.887,-5.432,2.197,-4.395
-0.002,-0.298,0.887,-5.859,2.808,-4.333
-0.001,-0.306,0.89,-6.226,3.296,-4.333
-0.002,-0.315,0.898,-6.531,3.54,-4.517
-0.006,-0.325,0.907,-6.592,3.418,-4.822
-0.01,-0.335,0.915,-6.348,3.174,-5.371
-0.013,-0.346,0.917,-5.859,3.113,-6.104
-0.013,-0.355,0.914,-5.188,3.54,-7.019
-0.012,-0.36,0.91,-4.456,4.517,-7.874
-0.012,-0.363,0.907,-3.479,5.737,-8.789
-0.015,-0.365,0.908,-2.441,7.019,-9.705
-0.019,-0.366,0.914,-1.282,7.935,-10.681
-0.024,-0.367,0.926,-0.122,8.545,-11.719
-0.028,-0.368,0.944,0.977,8.85,-12.695
-0.033,-0.368,0.966,2.014,8.667,-13.611
-0.036,-0.367,0.995,3.174,7.813,-14.526
-0.038,-0.365,1.013,3.906,7.019,-15.015
-0.038,-0.361,1.04,4.822,5.493,-15.564
-0.037,-0.357,1.06,5.371,3.906,-15.808
-0.036,-0.351,1.079,5.798,2.075,-15.808
-0.035,-0.343,1.095,6.226,0.0,-15.625
-0.034,-0.335,1.108,6.592,-2.38,-15.381
-0.033,-0.327,1.116,6.897,-4.822,-15.015
-0.031,-0.318,1.118,7.08,-7.202,-14.526
-0.027,-0.31,1.114,7.141,-9.46,-13.733
-0.024,-0.301,1.105,7.019,-11.475,-12.817
-0.02,-0.293,1.092,6.775,-13.245,-11.78
-0.017,-0.288,1.075,6.226,-14.709,-10.498
-0.014,-0.284,1.059,5.615,-16.052,-9.033
-0.012,-0.283,1.046,4.883,-16.907,-7.446
-0.007,-0.284,1.043,4.028,-16.846,-5.615
0.0,-0.287,1.056,3.113,-15.93,-3.662
0.005,-0.292,1.089,1.953,-14.648,-1.465
0.006,-0.298,1.14,0.854,-13.489,0.916
-0.001,-0.307,1.198,0.122,-13.245,3.235
-0.018,-0.318,1.25,-0.122,-14.709,5.188
-0.038,-0.332,1.281,0.183,-17.761,6.531
-0.053,-0.345,1.283,0.916,-21.301,7.385
-0.053,-0.354,1.255,1.77,-23.315,8.118
-0.041,-0.356,1.209,2.38,-22.278,9.338
-0.024,-0.354,1.163,2.625,-18.188,11.23
-0.012,-0.351,1.135,2.625,-12.451,13.55
-0.013,-0.352,1.135,2.625,-7.385,15.869
-0.028,-0.361,1.162,3.052,-4.944,17.639
-0.052,-0.378,1.201,3.845,-5.798,18.555
-0.076,-0.399,1.234,5.066,-9.338,18.555
-0.09,-0.417,1.245,6.531,-13.977,18.127
-0.09,-0.425,1.227,7.935,-17.7,17.639
-0.078,-0.422,1.181,9.094,-19.043,17.578
-0.064,-0.411,1.119,10.071,-18.066,17.944
-0.056,-0.396,1.052,10.864,-15.564,18.555
-0.056,-0.384,0.992,11.597,-12.573,19.165
-0.063,-0.378,0.946,12.39,-10.071,19.287
-0.074,-0.377,0.915,13.123,-8.667,19.043
-0.084,-0.378,0.896,13.855,-8.24,18.433
-0.091,-0.379,0.882,14.587,-8.362,17.639
-0.093,-0.376,0.868,15.076,-8.545,16.785
-0.092,-0.37,0.85,15.442,-8.545,15.93
-0.091,-0.362,0.825,15.747,-8.179,15.076
-0.09,-0.353,0.795,15.869,-7.385,14.282
-0.088,-0.344,0.763,15.93,-6.287,13.489
-0.085,-0.334,0.735,15.747,-4.761,12.756
-0.081,-0.325,0.715,15.32,-2.93,12.146
-0.079,-0.315,0.71,14.648,-0.793,11.719
-0.079,-0.307,0.721,13.794,0.977,11.353
-0.082,-0.3,0.746,12.695,2.075,11.047
-0.089,-0.297,0.78,11.536,2.258,10.62
-0.096,-0.295,0.816,10.254,1.648,10.132
-0.102,-0.294,0.849,8.972,0.671,9.521
-0.105,-0.293,0.874,7.568,-0.183,9.033
-0.106,-0.292,0.888,5.981,-0.671,8.728
-0.107,-0.288,0.893,4.395,-0.671,8.545
-0.107,-0.284,0.891,2.747,-0.244,8.545
-0.108,-0.28,0.886,1.221,0.122,8.606
-0.11,-0.277,0.881,-0.122,0.305,8.667
-0.112,-0.276,0.875,-1.343,0.122,8.789
-0.112,-0.275,0.871,-2.441,-0.061,8.85
-0.111,-0.275,0.869,-3.54,-0.061,9.033
-0.108,-0.275,0.869,-4.517,0.0,9.277
-0.106,-0.275,0.872,-5.432,-0.061,9.583
-0.105,-0.275,0.876,-6.104,-0.366,9.827
-0.104,-0.276,0.879,-6.653,-0.793,10.01
-0.101,-0.278,0.879,-7.08,-1.038,10.193
-0.096,-0.28,0.878,-7.446,-0.916,10.376
-0.091,-0.281,0.877,-7.813,-0.366,10.62
-0.087,-0.283,0.877,-8.118,0.366,10.925
-0.085,-0.285,0.881,-8.301,1.099,11.169
-0.086,-0.289,0.886,-8.362,1.465,11.353
-0.089,-0.293,0.89,-8.179,1.648,11.414
-0.091,-0.299,0.891,-7.935,1.953,11.353
-0.091,-0.303,0.89,-7.69,2.563,11.292
-0.091,-0.306,0.886,-7.446,3.418,11.292
-0.091,-0.307,0.882,-7.141,4.395,11.353
-0.092,-0.307,0.88,-6.714,5.249,11.353
-0.094,-0.306,0.88,-6.165,5.615,11.23
-0.096,-0.304,0.883,-5.554,5.676,10.986
-0.096,-0.302,0.888,-4.883,5.493,10.742
-0.094,-0.299,0.895,-4.211,5.371,10.559
-0.091,-0.295,0.902,-3.54,5.188,10.376
-0.089,-0.29,0.91,-2.991,4.822,10.193
-0.087,-0.285,0.917,-2.38,4.15,9.949
-0.086,-0.279,0.923,-1.77,3.113,9.644
-0.085,-0.274,0.925,-1.16,1.831,9.277
-0.083,-0.269,0.922,-0.488,0.488,8.911
-0.08,-0.261,0.914,0.061,-0.793,8.423
-0.076,-0.255,0.902,0.488,-1.587,8.118
-0.073,-0.249,0.891,0.671,-2.014,7.813
-0.071,-0.243,0.88,0.732,-2.197,7.629
-0.07,-0.24,0.873,0.671,-2.319,7.324
-0.071,-0.238,0.869,0.488,-2.441,7.019
-0.072,-0.237,0.866,0.305,-2.686,6.714
-0.073,-0.238,0.863,0.0,-2.93,6.348
-0.073,-0.238,0.859,-0.488,-2.991,5.981
-0.072,-0.238,0.854,-1.099,-2.869,5.554
-0.07,-0.237,0.849,-1.77,-2.441,5.188
-0.069,-0.236,0.845,-2.38,-1.831,4.822
